Stopid,distance to next station ,passing times1,distance to prior station,passing times2,stations times,pairs station ,LocationType,passenger,Cluster
263,0.1,5,0.2,5,5,0,0,0.264841672,cluster0
1787,0.1,6,0.2,6,6,0,0,0.20274615,cluster0
1788,0.2,6,0.1,6,6,1,0,0.19590019,cluster0
1789,0.1,6,0.2,6,6,1,1,0.350534864,cluster0
1796,0.1,3,0.081376263,3,3,1,0,0.466940916,cluster0
2096,0.2,2,0.09375,2,2,1,0,0.23902063,cluster0
2098,0.049621212,3,0.060984848,3,3,0,0,0.179937372,cluster0
2108,0.1,3,0.1,3,3,1,0,0.155965989,cluster0
2109,0.1,3,0.2,3,3,1,0,0.232934571,cluster0
2180,0.066035354,3,0.049621212,3,3,1,0,0.382178813,cluster0
2181,0.060984848,3,0.054734848,3,3,0,0,0.200209828,cluster0
2182,0.054734848,3,0.043497475,3,3,0,0,0.215260894,cluster0
2205,0.081376263,3,0.1,3,3,1,0,0.172649179,cluster0
2509,0.047537879,7,0.114285714,7,7,1,1,0.263361454,cluster0
2589,0.2,7,0.047537879,7,7,1,0,0.515680077,cluster0
2663,0.1,5,0.1,5,5,0,1,0.491635881,cluster0
2706,0.2,6,0.1,6,6,1,1,0.248573923,cluster0
3253,0.087594697,4,0.15,4,6,1,0,0.475467094,cluster0
3254,0.09375,2,0.075189394,2,2,1,0,0.103806298,cluster0
3255,0.2,3,0.1,3,3,0,0,0.347412407,cluster0
3256,0.1,3,0.1,3,3,1,0,0.236369983,cluster0
3257,0.3,3,0.1,3,3,1,0,0.268979212,cluster0
3259,0.076830808,3,0.066035354,3,3,1,0,0.236159387,cluster0
3260,0.043497475,3,0.048926768,3,3,0,0,0.259386609,cluster0
3303,0.048926768,3,0.06395202,3,3,0,0,0.272311893,cluster0
3304,0.06395202,3,0.053977273,3,3,0,0,0.19656795,cluster0
3308,0.053977273,3,0.070265152,3,3,1,0,0.293485712,cluster0
3940,0.1,2,0.2,4,4,1,1,0.117164925,cluster0
10628,0.000189,4,0.000189,4,4,1,0,0.151809628,cluster0
10629,0.000189,4,0.000189,4,4,1,0,0.330711449,cluster0
10630,0.000189,4,0.000189,4,4,1,0,0.031878261,cluster0
11581,0.1,3,0.076830808,3,3,1,1,0.295694076,cluster0
2107,0.1,3,0.3,3,3,1,0,0.397058652,cluster1
3348,0.070265152,3,0.8,3,3,1,0,0.291439533,cluster1
7175,1.35,6,1.333333333,6,12,1,1,0.7,cluster1
7216,1.4375,8,0.45,8,8,1,1,0.6765455,cluster1
9018,0.056628788,4,0.1,2,6,1,1,0.7,cluster1
10134,0.866666667,3,0.4,3,3,0,0,0.08933317,cluster1
10135,0.2,7,1.528571429,7,7,1,0,0.126759689,cluster1
10626,1.65,4,1.75,4,4,1,0,0.270289835,cluster1
10627,0.000189,4,0.8,4,4,1,0,0.074693873,cluster1
10631,0.95,4,0.000189,4,4,1,0,0.025588926,cluster1
